method,explorer_batch,trajectory_count,model_version_mean,matched_done_reward,audited_task_success,matched_done_reward_smooth,matched_done_reward_cumulative,audited_task_success_smooth,audited_task_success_cumulative
TCOD F2B,101,16,113.0,0.625,,0.6527777777777778,0.3155940594059406,,
TCOD F2B,102,16,114.0,0.6875,,0.6597222222222222,0.31924019607843135,,
TCOD F2B,103,16,116.0,0.75,,0.6597222222222222,0.3234223300970874,,
TCOD F2B,104,16,117.0,0.8125,,0.6944444444444444,0.328125,,
TCOD F2B,105,16,119.0,0.5625,,0.6944444444444444,0.33035714285714285,,
TCOD F2B,106,16,120.0,0.75,,0.6944444444444444,0.33431603773584906,,
TCOD F2B,107,16,122.0,0.625,,0.6805555555555556,0.33703271028037385,,
TCOD F2B,108,16,123.0,0.6875,,0.6875,0.3402777777777778,,
TCOD F2B,109,16,125.0,0.75,,0.6666666666666666,0.3440366972477064,,
TCOD F2B,110,16,126.0,0.625,,0.6736111111111112,0.3465909090909091,,
TCOD F2B,111,16,128.0,0.5625,,0.6805555555555556,0.34853603603603606,,
TCOD F2B,112,16,129.0,0.8125,,0.6736111111111112,0.35267857142857145,,
TCOD F2B,113,16,131.0,0.625,,0.6666666666666666,0.35508849557522126,,
TCOD F2B,114,16,132.0,0.625,,0.6805555555555556,0.3574561403508772,,
TCOD F2B,115,16,134.0,0.8125,,0.6875,0.36141304347826086,,
TCOD F2B,116,16,135.0,0.5625,,0.7083333333333334,0.36314655172413796,,
TCOD F2B,117,16,137.0,0.625,,0.7013888888888888,0.36538461538461536,,
TCOD F2B,118,16,138.0,0.875,,0.6875,0.3697033898305085,,
TCOD F2B,119,16,140.0,0.6875,,0.6944444444444444,0.37237394957983194,,
TCOD F2B,120,16,141.0,0.75,,0.6736111111111112,0.37552083333333336,,
TCOD F2B,121,16,143.0,0.75,,0.6944444444444444,0.37861570247933884,,
TCOD F2B,122,16,144.0,0.5,,0.6875,0.3796106557377049,,
TCOD F2B,123,16,146.0,0.6875,,0.6666666666666666,0.3821138211382114,,
TCOD F2B,124,16,147.0,0.625,,0.6736111111111112,0.3840725806451613,,
TCOD F2B,125,16,149.0,0.75,,0.6736111111111112,0.387,,
TCOD F2B,126,16,150.0,0.5625,,0.6597222222222222,0.38839285714285715,,
TCOD F2B,127,16,152.0,0.6875,,0.7013888888888888,0.390748031496063,,
TCOD F2B,128,16,153.0,0.75,,0.7083333333333334,0.3935546875,,
TCOD F2B,129,16,155.0,0.75,,0.7083333333333334,0.3963178294573643,,
TCOD F2B,130,16,156.0,0.625,,0.6944444444444444,0.39807692307692305,,
TCOD F2B,131,16,158.0,0.875,,0.7361111111111112,0.4017175572519084,,
TCOD F2B,132,16,159.0,0.75,,0.75,0.4043560606060606,,
TCOD F2B,133,16,161.0,0.625,,0.7638888888888888,0.40601503759398494,,
TCOD F2B,134,16,162.0,0.625,,0.7777777777777778,0.4076492537313433,,
TCOD F2B,135,16,164.0,0.9375,,0.7847222222222222,0.4115740740740741,,
TCOD F2B,136,16,165.0,0.8125,,0.7916666666666666,0.41452205882352944,,
TCOD F2B,137,16,167.0,0.875,,0.7986111111111112,0.41788321167883213,,
TCOD F2B,138,16,168.0,0.875,,0.8125,0.421195652173913,,
TCOD F2B,139,16,170.0,0.6875,,0.8263888888888888,0.4231115107913669,,
TCOD F2B,140,16,171.0,0.9375,,0.7986111111111112,0.42678571428571427,,
TCOD F2B,141,16,173.0,0.8125,,0.7986111111111112,0.4295212765957447,,
TCOD F2B,142,16,174.0,0.75,,0.7916666666666666,0.4317781690140845,,
TCOD F2B,143,16,176.0,0.75,,0.7916666666666666,0.4340034965034965,,
TCOD F2B,144,16,177.0,0.6875,,0.7986111111111112,0.4357638888888889,,
TCOD F2B,145,16,178.0,0.8125,,0.7847222222222222,0.4383620689655172,,
TCOD F2B,146,16,180.0,0.8125,,0.7916666666666666,0.4409246575342466,,
TCOD F2B,147,16,181.0,0.875,,0.7986111111111112,0.44387755102040816,,
TCOD F2B,148,16,182.0,0.75,,0.8125,0.44594594594594594,,
TCOD F2B,149,16,184.0,0.8125,,0.8402777777777778,0.4484060402684564,,
TCOD F2B,150,16,185.0,0.875,,0.8541666666666666,0.45125,,
TCOD F2B,151,16,187.0,0.8125,,0.8541666666666666,0.45364238410596025,,
TCOD F2B,152,16,188.0,0.875,,0.8472222222222222,0.4564144736842105,,
TCOD F2B,153,16,190.0,0.9375,,0.8472222222222222,0.45955882352941174,,
TCOD F2B,154,16,191.0,0.9375,,0.8402777777777778,0.46266233766233766,,
TCOD F2B,155,16,193.0,0.8125,,0.8402777777777778,0.46491935483870966,,
